FeatureCode,DateCode,Measurement,Units,Value,IndicesOfDeprivation
E01013753,2015,Score,NA,0.301,Income Deprivation Affecting Children Index (IDACI)
E01013776,2015,Score,NA,0.352,Income Deprivation Affecting Children Index (IDACI)
E01013755,2015,Score,NA,0.361,Income Deprivation Affecting Children Index (IDACI)
E01013764,2015,Score,NA,0.206,Income Deprivation Affecting Children Index (IDACI)
E01013781,2015,Score,NA,0.209,Income Deprivation Affecting Children Index (IDACI)
E01013612,2015,Score,NA,0.117,Income Deprivation Domain
E01013620,2015,Score,NA,0.432,Income Deprivation Domain
E01013661,2015,Score,NA,0.356,Income Deprivation Domain
E01013624,2015,Score,NA,0.267,Income Deprivation Domain
E01013634,2015,Score,NA,0.329,Income Deprivation Domain
E01013741,2015,Score,NA,0.166,Income Deprivation Domain
E01013747,2015,Score,NA,0.215,Income Deprivation Domain
E01013753,2015,Score,NA,0.318,Income Deprivation Domain
E01013736,2015,Score,NA,0.119,Income Deprivation Domain
E01013776,2015,Score,NA,0.185,Income Deprivation Domain
E01013781,2015,Score,NA,0.208,Income Deprivation Domain
E01013755,2015,Score,NA,0.396,Income Deprivation Domain
E01013764,2015,Score,NA,0.154,Income Deprivation Domain
E01013698,2015,Score,NA,0.207,Income Deprivation Domain
E01013667,2015,Score,NA,0.25,Income Deprivation Domain
E01013662,2015,Score,NA,0.176,Income Deprivation Domain
E01013699,2015,Score,NA,0.139,Income Deprivation Domain
E01013679,2015,Score,NA,0.415,Income Deprivation Domain
E01013611,2015,Score,NA,0.195,Income Deprivation Domain
E01013635,2015,Score,NA,0.149,Income Deprivation Domain
E01013719,2015,Score,NA,0.211,Income Deprivation Domain
E01013683,2015,Score,NA,0.255,Income Deprivation Domain
E01013606,2015,Score,NA,0.143,Income Deprivation Domain
E01013617,2015,Score,NA,0.156,Income Deprivation Domain
E01013622,2015,Score,NA,0.393,Income Deprivation Domain
E01013642,2015,Score,NA,0.067,Income Deprivation Domain
E01013633,2015,Score,NA,0.313,Income Deprivation Domain
E01013623,2015,Score,NA,0.139,Income Deprivation Domain
E01013614,2015,Score,NA,0.166,Income Deprivation Domain
E01013651,2015,Score,NA,0.34,Income Deprivation Domain
E01013714,2015,Score,NA,0.2,Income Deprivation Domain
E01013636,2015,Score,NA,0.087,Income Deprivation Domain
E01013646,2015,Score,NA,0.179,Income Deprivation Domain
E01013678,2015,Score,NA,0.221,Income Deprivation Domain
E01013688,2015,Score,NA,0.241,Income Deprivation Domain
E01013718,2015,Score,NA,0.27,Income Deprivation Domain
E01013763,2015,Score,NA,0.22,Income Deprivation Domain
E01013721,2015,Score,NA,0.238,Income Deprivation Domain
E01013643,2015,Score,NA,0.063,Income Deprivation Domain
E01013632,2015,Score,NA,0.444,Income Deprivation Domain
E01013737,2015,Score,NA,0.126,Income Deprivation Domain
E01013664,2015,Score,NA,0.33,Income Deprivation Domain
E01013650,2015,Score,NA,0.031,Income Deprivation Domain
E01013628,2015,Score,NA,0.344,Income Deprivation Domain
E01013626,2015,Score,NA,0.266,Income Deprivation Domain
E01013766,2015,Score,NA,0.164,Income Deprivation Domain
E01013607,2015,Score,NA,0.123,Income Deprivation Domain
E01013729,2015,Score,NA,0.166,Income Deprivation Domain
E01013777,2015,Score,NA,0.207,Income Deprivation Domain
E01013605,2015,Score,NA,0.218,Income Deprivation Domain
E01013659,2015,Score,NA,0.259,Income Deprivation Domain
E01013709,2015,Score,NA,0.105,Income Deprivation Domain
E01013682,2015,Score,NA,0.237,Income Deprivation Domain
E01013694,2015,Score,NA,0.298,Income Deprivation Domain
E01013720,2015,Score,NA,0.434,Income Deprivation Domain
E01013727,2015,Score,NA,0.344,Income Deprivation Domain
E01013752,2015,Score,NA,0.288,Income Deprivation Domain
E01013756,2015,Score,NA,0.18,Income Deprivation Domain
E01013735,2015,Score,NA,0.152,Income Deprivation Domain
E01013758,2015,Score,NA,0.182,Income Deprivation Domain
E01013749,2015,Score,NA,0.183,Income Deprivation Domain
E01013765,2015,Score,NA,0.243,Income Deprivation Domain
E01013674,2015,Score,NA,0.337,Income Deprivation Domain
E01013648,2015,Score,NA,0.104,Income Deprivation Domain
E01013773,2015,Score,NA,0.198,Income Deprivation Domain
E01013733,2015,Score,NA,0.147,Income Deprivation Domain
E01013608,2015,Score,NA,0.106,Income Deprivation Domain
E01013609,2015,Score,NA,0.102,Income Deprivation Domain
E01013610,2015,Score,NA,0.232,Income Deprivation Domain
E01013670,2015,Score,NA,0.152,Income Deprivation Affecting Children Index (IDACI)
E01013690,2015,Score,NA,0.374,Income Deprivation Affecting Children Index (IDACI)
E01013686,2015,Score,NA,0.1,Income Deprivation Affecting Children Index (IDACI)
E01013779,2015,Score,NA,0.269,Income Deprivation Affecting Children Index (IDACI)
E01013761,2015,Score,NA,0.35,Income Deprivation Affecting Children Index (IDACI)
E01013757,2015,Score,NA,0.16,Income Deprivation Affecting Children Index (IDACI)
E01013704,2015,Score,NA,0.046,Income Deprivation Affecting Children Index (IDACI)
E01013771,2015,Score,NA,0.134,Income Deprivation Affecting Children Index (IDACI)
E01013775,2015,Score,NA,0.307,Income Deprivation Affecting Children Index (IDACI)
E01013739,2015,Score,NA,0.276,Income Deprivation Affecting Children Index (IDACI)
E01013731,2015,Score,NA,0.359,Income Deprivation Affecting Children Index (IDACI)
E01013716,2015,Score,NA,0.35,Income Deprivation Affecting Children Index (IDACI)
E01013723,2015,Score,NA,0.409,Income Deprivation Affecting Children Index (IDACI)
E01032875,2015,Score,NA,0.106,Income Deprivation Affecting Children Index (IDACI)
E01032862,2015,Score,NA,0.202,Income Deprivation Affecting Children Index (IDACI)
E01032602,2015,Score,NA,0.394,Income Deprivation Affecting Children Index (IDACI)
E01032599,2015,Score,NA,0.055,Income Deprivation Affecting Children Index (IDACI)
E01032863,2015,Score,NA,0.147,Income Deprivation Affecting Children Index (IDACI)
E01032865,2015,Score,NA,0.121,Income Deprivation Affecting Children Index (IDACI)
E01032872,2015,Score,NA,0.239,Income Deprivation Affecting Children Index (IDACI)
E01032868,2015,Score,NA,0.078,Income Deprivation Affecting Children Index (IDACI)
E01032873,2015,Score,NA,0.574,Income Deprivation Affecting Children Index (IDACI)
E01032597,2015,Score,NA,0.379,Income Deprivation Affecting Children Index (IDACI)
E01013733,2015,Score,NA,0.105,Employment Deprivation Domain
E01013648,2015,Score,NA,0.058,Employment Deprivation Domain
E01013628,2015,Score,NA,0.279,Employment Deprivation Domain
E01013605,2015,Score,NA,0.174,Employment Deprivation Domain
E01013636,2015,Score,NA,0.085,Employment Deprivation Domain
E01013626,2015,Score,NA,0.158,Employment Deprivation Domain
E01013659,2015,Score,NA,0.139,Employment Deprivation Domain
E01013646,2015,Score,NA,0.151,Employment Deprivation Domain
E01013773,2015,Score,NA,0.162,Employment Deprivation Domain
E01013756,2015,Score,NA,0.141,Employment Deprivation Domain
E01013749,2015,Score,NA,0.141,Employment Deprivation Domain
E01013758,2015,Score,NA,0.112,Employment Deprivation Domain
E01013752,2015,Score,NA,0.162,Employment Deprivation Domain
E01013674,2015,Score,NA,0.279,Employment Deprivation Domain
E01013765,2015,Score,NA,0.145,Employment Deprivation Domain
E01013709,2015,Score,NA,0.095,Employment Deprivation Domain
E01013720,2015,Score,NA,0.241,Employment Deprivation Domain
E01013682,2015,Score,NA,0.144,Employment Deprivation Domain
E01013694,2015,Score,NA,0.195,Employment Deprivation Domain
E01013735,2015,Score,NA,0.132,Employment Deprivation Domain
E01013727,2015,Score,NA,0.259,Employment Deprivation Domain
E01013742,2015,Score,NA,0.171,Employment Deprivation Domain
E01013751,2015,Score,NA,0.152,Employment Deprivation Domain
E01013705,2015,Score,NA,0.159,Employment Deprivation Domain
E01013717,2015,Score,NA,0.155,Employment Deprivation Domain
E01013750,2015,Score,NA,0.136,Employment Deprivation Domain
E01013666,2015,Score,NA,0.101,Employment Deprivation Domain
E01013743,2015,Score,NA,0.159,Employment Deprivation Domain
E01013734,2015,Score,NA,0.122,Employment Deprivation Domain
E01013665,2015,Score,NA,0.141,Employment Deprivation Domain
E01013689,2015,Score,NA,0.063,Employment Deprivation Domain
E01013697,2015,Score,NA,0.158,Employment Deprivation Domain
E01013702,2015,Score,NA,0.051,Employment Deprivation Domain
E01013653,2015,Score,NA,0.279,Employment Deprivation Domain
E01013783,2015,Score,NA,0.083,Employment Deprivation Domain
E01013782,2015,Score,NA,0.072,Employment Deprivation Domain
E01013785,2015,Score,NA,0.063,Employment Deprivation Domain
E01013759,2015,Score,NA,0.109,Employment Deprivation Domain
E01013746,2015,Score,NA,0.243,Employment Deprivation Domain
E01013786,2015,Score,NA,0.108,Employment Deprivation Domain
E01013774,2015,Score,NA,0.11,Employment Deprivation Domain
E01032602,2015,Score,NA,0.235,Employment Deprivation Domain
E01032599,2015,Score,NA,0.077,Employment Deprivation Domain
E01032865,2015,Score,NA,0.071,Employment Deprivation Domain
E01032872,2015,Score,NA,0.082,Employment Deprivation Domain
E01032868,2015,Score,NA,0.02,Employment Deprivation Domain
E01032867,2015,Score,NA,0.067,Employment Deprivation Domain
E01032863,2015,Score,NA,0.088,Employment Deprivation Domain
E01032873,2015,Score,NA,0.18,Employment Deprivation Domain
E01032597,2015,Score,NA,0.271,Employment Deprivation Domain
E01032862,2015,Score,NA,0.093,Employment Deprivation Domain
E01032875,2015,Score,NA,0.045,Employment Deprivation Domain
E01013753,2015,Score,NA,0.193,Employment Deprivation Domain
E01013683,2015,Score,NA,0.14,Employment Deprivation Domain
E01013747,2015,Score,NA,0.131,Employment Deprivation Domain
E01013764,2015,Score,NA,0.108,Employment Deprivation Domain
E01013776,2015,Score,NA,0.117,Employment Deprivation Domain
E01013698,2015,Score,NA,0.158,Employment Deprivation Domain
E01013679,2015,Score,NA,0.278,Employment Deprivation Domain
E01013719,2015,Score,NA,0.118,Employment Deprivation Domain
E01013736,2015,Score,NA,0.104,Employment Deprivation Domain
E01013667,2015,Score,NA,0.218,Employment Deprivation Domain
E01013699,2015,Score,NA,0.114,Employment Deprivation Domain
E01013781,2015,Score,NA,0.204,Employment Deprivation Domain
E01013741,2015,Score,NA,0.115,Employment Deprivation Domain
E01013661,2015,Score,NA,0.298,Employment Deprivation Domain
E01013755,2015,Score,NA,0.265,Employment Deprivation Domain
E01013606,2015,Score,NA,0.115,Employment Deprivation Domain
E01013617,2015,Score,NA,0.129,Employment Deprivation Domain
E01013662,2015,Score,NA,0.111,Employment Deprivation Domain
E01013611,2015,Score,NA,0.161,Employment Deprivation Domain
E01013634,2015,Score,NA,0.235,Employment Deprivation Domain
E01013635,2015,Score,NA,0.13,Employment Deprivation Domain
E01013624,2015,Score,NA,0.181,Employment Deprivation Domain
E01032597,2015,Score,NA,0.334,Income Deprivation Domain
E01032867,2015,Score,NA,0.068,Income Deprivation Domain
E01013640,2015,Score,NA,0.451,Income Deprivation Domain
E01013641,2015,Score,NA,0.157,Income Deprivation Domain
E01013630,2015,Score,NA,0.26,Income Deprivation Domain
E01013631,2015,Score,NA,0.241,Income Deprivation Domain
E01013783,2015,Score,NA,0.075,Income Deprivation Domain
E01013652,2015,Score,NA,0.39,Income Deprivation Domain
E01013786,2015,Score,NA,0.151,Income Deprivation Domain
E01013742,2015,Score,NA,0.269,Income Deprivation Domain
E01013774,2015,Score,NA,0.2,Income Deprivation Domain
E01013782,2015,Score,NA,0.12,Income Deprivation Domain
E01013785,2015,Score,NA,0.063,Income Deprivation Domain
E01013621,2015,Score,NA,0.444,Income Deprivation Domain
E01013717,2015,Score,NA,0.223,Income Deprivation Domain
E01013750,2015,Score,NA,0.195,Income Deprivation Domain
E01013751,2015,Score,NA,0.233,Income Deprivation Domain
E01013743,2015,Score,NA,0.257,Income Deprivation Domain
E01013746,2015,Score,NA,0.369,Income Deprivation Domain
E01013759,2015,Score,NA,0.123,Income Deprivation Domain
E01013734,2015,Score,NA,0.166,Income Deprivation Domain
E01013665,2015,Score,NA,0.2,Income Deprivation Domain
E01013689,2015,Score,NA,0.101,Income Deprivation Domain
E01013697,2015,Score,NA,0.203,Income Deprivation Domain
E01013666,2015,Score,NA,0.095,Income Deprivation Domain
E01013653,2015,Score,NA,0.377,Income Deprivation Domain
E01013705,2015,Score,NA,0.154,Income Deprivation Domain
E01013702,2015,Score,NA,0.052,Income Deprivation Domain
E01013657,2015,Score,NA,0.295,Income Deprivation Domain
E01013618,2015,Score,NA,0.171,Income Deprivation Domain
E01013619,2015,Score,NA,0.401,Income Deprivation Domain
E01013625,2015,Score,NA,0.236,Income Deprivation Domain
E01013600,2015,Score,NA,0.386,Income Deprivation Domain
E01013754,2015,Score,NA,0.438,Income Deprivation Domain
E01013760,2015,Score,NA,0.283,Income Deprivation Domain
E01013770,2015,Score,NA,0.145,Income Deprivation Domain
E01013660,2015,Score,NA,0.23,Income Deprivation Domain
E01013725,2015,Score,NA,0.484,Income Deprivation Domain
E01013732,2015,Score,NA,0.192,Income Deprivation Domain
E01013700,2015,Score,NA,0.135,Income Deprivation Domain
E01013703,2015,Score,NA,0.041,Income Deprivation Domain
E01013676,2015,Score,NA,0.302,Income Deprivation Domain
E01013740,2015,Score,NA,0.191,Income Deprivation Domain
E01013768,2015,Score,NA,0.243,Income Deprivation Domain
E01013772,2015,Score,NA,0.282,Income Deprivation Domain
E01013762,2015,Score,NA,0.277,Income Deprivation Domain
E01013655,2015,Score,NA,0.214,Income Deprivation Domain
E01013767,2015,Score,NA,0.175,Income Deprivation Domain
E01013696,2015,Score,NA,0.212,Income Deprivation Domain
E01013629,2015,Score,NA,0.239,Income Deprivation Domain
E01013639,2015,Score,NA,0.251,Income Deprivation Domain
E01013604,2015,Score,NA,0.32,Income Deprivation Domain
E01013675,2015,Score,NA,0.273,Income Deprivation Domain
E01013677,2015,Score,NA,0.309,Income Deprivation Domain
E01013613,2015,Score,NA,0.185,Income Deprivation Domain
E01013616,2015,Score,NA,0.166,Income Deprivation Domain
E01013656,2015,Score,NA,0.2,Income Deprivation Domain
E01013649,2015,Score,NA,0.07,Income Deprivation Domain
E01013615,2015,Score,NA,0.079,Income Deprivation Domain
E01013654,2015,Score,NA,0.32,Income Deprivation Domain
E01013744,2015,Score,NA,0.234,Income Deprivation Domain
E01013738,2015,Score,NA,0.122,Income Deprivation Domain
E01013692,2015,Score,NA,0.447,Income Deprivation Domain
E01013685,2015,Score,NA,0.069,Income Deprivation Domain
E01013691,2015,Score,NA,0.466,Income Deprivation Domain
E01013680,2015,Score,NA,0.089,Income Deprivation Domain
E01013671,2015,Score,NA,0.159,Income Deprivation Domain
E01013663,2015,Score,NA,0.174,Income Deprivation Domain
E01013681,2015,Score,NA,0.239,Income Deprivation Domain
E01013658,2015,Score,NA,0.214,Income Deprivation Domain
E01013668,2015,Score,NA,0.158,Income Deprivation Domain
E01013669,2015,Score,NA,0.101,Income Deprivation Domain
E01013748,2015,Score,NA,0.394,Income Deprivation Domain
E01013715,2015,Score,NA,0.211,Income Deprivation Domain
E01013672,2015,Score,NA,0.112,Income Deprivation Domain
E01013673,2015,Score,NA,0.325,Income Deprivation Domain
E01013726,2015,Score,NA,0.481,Income Deprivation Domain
E01013684,2015,Score,NA,0.285,Income Deprivation Domain
E01013707,2015,Score,NA,0.069,Income Deprivation Domain
E01013730,2015,Score,NA,0.392,Income Deprivation Domain
E01013693,2015,Score,NA,0.464,Income Deprivation Domain
E01013712,2015,Score,NA,0.065,Income Deprivation Domain
E01013695,2015,Score,NA,0.316,Income Deprivation Domain
E01013706,2015,Score,NA,0.038,Income Deprivation Domain
E01013722,2015,Score,NA,0.35,Income Deprivation Domain
E01013687,2015,Score,NA,0.199,Income Deprivation Domain
E01013713,2015,Score,NA,0.207,Income Deprivation Domain
E01013745,2015,Score,NA,0.208,Income Deprivation Domain
E01013728,2015,Score,NA,0.366,Income Deprivation Domain
E01013711,2015,Score,NA,0.133,Income Deprivation Domain
E01013710,2015,Score,NA,0.101,Income Deprivation Domain
E01013784,2015,Score,NA,0.104,Income Deprivation Domain
E01013778,2015,Score,NA,0.165,Income Deprivation Domain
E01013780,2015,Score,NA,0.058,Income Deprivation Domain
E01013775,2015,Score,NA,0.142,Income Deprivation Domain
E01013771,2015,Score,NA,0.131,Income Deprivation Domain
E01013601,2015,Score,NA,0.333,Income Deprivation Domain
E01013603,2015,Score,NA,0.408,Income Deprivation Domain
E01013602,2015,Score,NA,0.318,Income Deprivation Domain
E01013647,2015,Score,NA,0.156,Income Deprivation Domain
E01013670,2015,Score,NA,0.139,Income Deprivation Domain
E01013731,2015,Score,NA,0.26,Income Deprivation Domain
E01013638,2015,Score,NA,0.47,Income Deprivation Domain
E01013761,2015,Score,NA,0.334,Income Deprivation Domain
E01013757,2015,Score,NA,0.145,Income Deprivation Domain
E01013716,2015,Score,NA,0.311,Income Deprivation Domain
E01013739,2015,Score,NA,0.266,Income Deprivation Domain
E01013704,2015,Score,NA,0.053,Income Deprivation Domain
E01013686,2015,Score,NA,0.083,Income Deprivation Domain
E01013627,2015,Score,NA,0.116,Income Deprivation Domain
E01013637,2015,Score,NA,0.316,Income Deprivation Domain
E01013690,2015,Score,NA,0.223,Income Deprivation Domain
E01013723,2015,Score,NA,0.327,Income Deprivation Domain
E01013779,2015,Score,NA,0.159,Income Deprivation Domain
E01013633,2015,Score,NA,0.252,Employment Deprivation Domain
E01013642,2015,Score,NA,0.065,Employment Deprivation Domain
E01013714,2015,Score,NA,0.132,Employment Deprivation Domain
E01013664,2015,Score,NA,0.283,Employment Deprivation Domain
E01013650,2015,Score,NA,0.023,Employment Deprivation Domain
E01013688,2015,Score,NA,0.173,Employment Deprivation Domain
E01013651,2015,Score,NA,0.231,Employment Deprivation Domain
E01013643,2015,Score,NA,0.038,Employment Deprivation Domain
E01013623,2015,Score,NA,0.11,Employment Deprivation Domain
E01013632,2015,Score,NA,0.332,Employment Deprivation Domain
E01013678,2015,Score,NA,0.174,Employment Deprivation Domain
E01013716,2015,Score,NA,0.195,Employment Deprivation Domain
E01013723,2015,Score,NA,0.218,Employment Deprivation Domain
E01013690,2015,Score,NA,0.15,Employment Deprivation Domain
E01013704,2015,Score,NA,0.044,Employment Deprivation Domain
E01013731,2015,Score,NA,0.166,Employment Deprivation Domain
E01013739,2015,Score,NA,0.231,Employment Deprivation Domain
E01013775,2015,Score,NA,0.072,Employment Deprivation Domain
E01013779,2015,Score,NA,0.099,Employment Deprivation Domain
E01013686,2015,Score,NA,0.067,Employment Deprivation Domain
E01013670,2015,Score,NA,0.112,Employment Deprivation Domain
E01013627,2015,Score,NA,0.106,Employment Deprivation Domain
E01013637,2015,Score,NA,0.274,Employment Deprivation Domain
E01013638,2015,Score,NA,0.291,Employment Deprivation Domain
E01013647,2015,Score,NA,0.133,Employment Deprivation Domain
E01013763,2015,Score,NA,0.161,Employment Deprivation Domain
E01013766,2015,Score,NA,0.122,Employment Deprivation Domain
E01013729,2015,Score,NA,0.127,Employment Deprivation Domain
E01013737,2015,Score,NA,0.112,Employment Deprivation Domain
E01013757,2015,Score,NA,0.106,Employment Deprivation Domain
E01013761,2015,Score,NA,0.209,Employment Deprivation Domain
E01013777,2015,Score,NA,0.117,Employment Deprivation Domain
E01013721,2015,Score,NA,0.158,Employment Deprivation Domain
E01013771,2015,Score,NA,0.095,Employment Deprivation Domain
E01013718,2015,Score,NA,0.151,Employment Deprivation Domain
E01013625,2015,Score,NA,0.188,Employment Deprivation Domain
E01013619,2015,Score,NA,0.278,Employment Deprivation Domain
E01013760,2015,Score,NA,0.19,Employment Deprivation Domain
E01013691,2015,Score,NA,0.35,Employment Deprivation Domain
E01013693,2015,Score,NA,0.333,Employment Deprivation Domain
E01013685,2015,Score,NA,0.082,Employment Deprivation Domain
E01013600,2015,Score,NA,0.229,Employment Deprivation Domain
E01013657,2015,Score,NA,0.205,Employment Deprivation Domain
E01013668,2015,Score,NA,0.118,Employment Deprivation Domain
E01013618,2015,Score,NA,0.153,Employment Deprivation Domain
E01013770,2015,Score,NA,0.122,Employment Deprivation Domain
E01013706,2015,Score,NA,0.033,Employment Deprivation Domain
E01013687,2015,Score,NA,0.161,Employment Deprivation Domain
E01013695,2015,Score,NA,0.209,Employment Deprivation Domain
E01013681,2015,Score,NA,0.144,Employment Deprivation Domain
E01013722,2015,Score,NA,0.258,Employment Deprivation Domain
E01013671,2015,Score,NA,0.113,Employment Deprivation Domain
E01013728,2015,Score,NA,0.243,Employment Deprivation Domain
E01013713,2015,Score,NA,0.137,Employment Deprivation Domain
E01013710,2015,Score,NA,0.09,Employment Deprivation Domain
E01013711,2015,Score,NA,0.158,Employment Deprivation Domain
E01013745,2015,Score,NA,0.144,Employment Deprivation Domain
E01013680,2015,Score,NA,0.076,Employment Deprivation Domain
E01013675,2015,Score,NA,0.21,Employment Deprivation Domain
E01013677,2015,Score,NA,0.231,Employment Deprivation Domain
E01013730,2015,Score,NA,0.294,Employment Deprivation Domain
E01013672,2015,Score,NA,0.119,Employment Deprivation Domain
E01013673,2015,Score,NA,0.227,Employment Deprivation Domain
E01013726,2015,Score,NA,0.386,Employment Deprivation Domain
E01013707,2015,Score,NA,0.052,Employment Deprivation Domain
E01013712,2015,Score,NA,0.043,Employment Deprivation Domain
E01013748,2015,Score,NA,0.25,Employment Deprivation Domain
E01013754,2015,Score,NA,0.282,Employment Deprivation Domain
E01013669,2015,Score,NA,0.101,Employment Deprivation Domain
E01013692,2015,Score,NA,0.337,Employment Deprivation Domain
E01013684,2015,Score,NA,0.169,Employment Deprivation Domain
E01013715,2015,Score,NA,0.124,Employment Deprivation Domain
E01013658,2015,Score,NA,0.131,Employment Deprivation Domain
E01013639,2015,Score,NA,0.175,Employment Deprivation Domain
E01013629,2015,Score,NA,0.17,Employment Deprivation Domain
E01013616,2015,Score,NA,0.131,Employment Deprivation Domain
E01013613,2015,Score,NA,0.142,Employment Deprivation Domain
E01013604,2015,Score,NA,0.241,Employment Deprivation Domain
E01013663,2015,Score,NA,0.14,Employment Deprivation Domain
E01013649,2015,Score,NA,0.075,Employment Deprivation Domain
E01013656,2015,Score,NA,0.115,Employment Deprivation Domain
E01013621,2015,Score,NA,0.298,Employment Deprivation Domain
E01013641,2015,Score,NA,0.111,Employment Deprivation Domain
E01013612,2015,Score,NA,0.111,Employment Deprivation Domain
E01013640,2015,Score,NA,0.268,Employment Deprivation Domain
E01013620,2015,Score,NA,0.288,Employment Deprivation Domain
E01013652,2015,Score,NA,0.249,Employment Deprivation Domain
E01013631,2015,Score,NA,0.209,Employment Deprivation Domain
E01013630,2015,Score,NA,0.149,Employment Deprivation Domain
E01013703,2015,Score,NA,0.04,Employment Deprivation Domain
E01013725,2015,Score,NA,0.285,Employment Deprivation Domain
E01013762,2015,Score,NA,0.177,Employment Deprivation Domain
E01013767,2015,Score,NA,0.13,Employment Deprivation Domain
E01013740,2015,Score,NA,0.156,Employment Deprivation Domain
E01013744,2015,Score,NA,0.16,Employment Deprivation Domain
E01013607,2015,Score,NA,0.1,Employment Deprivation Domain
E01013614,2015,Score,NA,0.131,Employment Deprivation Domain
E01013778,2015,Score,NA,0.107,Employment Deprivation Domain
E01013768,2015,Score,NA,0.203,Employment Deprivation Domain
E01013732,2015,Score,NA,0.145,Employment Deprivation Domain
E01013772,2015,Score,NA,0.167,Employment Deprivation Domain
E01013780,2015,Score,NA,0.066,Employment Deprivation Domain
E01013784,2015,Score,NA,0.074,Employment Deprivation Domain
E01013738,2015,Score,NA,0.11,Employment Deprivation Domain
E01013655,2015,Score,NA,0.178,Employment Deprivation Domain
E01013615,2015,Score,NA,0.068,Employment Deprivation Domain
E01013654,2015,Score,NA,0.194,Employment Deprivation Domain
E01013700,2015,Score,NA,0.121,Employment Deprivation Domain
E01013660,2015,Score,NA,0.167,Employment Deprivation Domain
E01013696,2015,Score,NA,0.138,Employment Deprivation Domain
E01013676,2015,Score,NA,0.207,Employment Deprivation Domain
E01013609,2015,Score,NA,0.089,Employment Deprivation Domain
